Symbol,Price,Time
CIEINDIA.NS,427.75,2026-01-02 22:48:41
CIFL.NS,34.92,2026-01-02 22:48:41
CIGNITITEC.NS,1624.0,2026-01-02 22:48:43
CINELINE.NS,85.91,2026-01-02 22:48:43
CINEVISTA.NS,16.09,2026-01-02 22:48:44
CIPLA.NS,1511.6,2026-01-02 22:48:44
CLEAN.NS,869.8,2026-01-02 22:48:44
CLEDUCATE.NS,86.17,2026-01-02 22:48:45
CLSEL.NS,268.9,2026-01-02 22:48:45
CMSINFO.NS,355.3,2026-01-02 22:48:45
CNL.NS,729.85,2026-01-02 22:48:45
COALINDIA.NS,427.9,2026-01-02 22:48:45
COASTCORP.NS,45.64,2026-01-02 22:48:46
COCHINSHIP.NS,1629.0,2026-01-02 22:48:46
COFFEEDAY.NS,36.36,2026-01-02 22:48:46
COFORGE.NS,1650.3,2026-01-02 22:48:46
COHANCE.NS,518.3,2026-01-02 22:48:47
COLPAL.NS,2090.1,2026-01-02 22:48:47
COMPINFO.NS,1.68,2026-01-02 22:48:47
COMPUSOFT.NS,16.24,2026-01-02 22:48:47
COMSYN.NS,154.09,2026-01-02 22:48:48
CONCOR.NS,531.8,2026-01-02 22:48:48
CONCORDBIO.NS,1311.5,2026-01-02 22:48:48
CONFIPET.NS,37.25,2026-01-02 22:48:48
CONSOFINVT.NS,164.73,2026-01-02 22:48:49
CONTROLPR.NS,693.4,2026-01-02 22:48:49
CORALFINAC.NS,40.65,2026-01-02 22:48:49
CORDSCABLE.NS,187.53,2026-01-02 22:48:49
COROMANDEL.NS,2280.1,2026-01-02 22:48:50
CORONA.NS,1443.5,2026-01-02 22:48:50
COSMOFIRST.NS,695.2,2026-01-02 22:48:50
COUNCODOS.NS,6.04,2026-01-02 22:48:50
CPCAP.NS,113.55,2026-01-02 22:48:51
CPEDU.NS,253.45,2026-01-02 22:48:51
CPPLUS.NS,1501.4,2026-01-02 22:48:51
CRAFTSMAN.NS,8013.5,2026-01-02 22:48:51
CRAMC.NS,311.05,2026-01-02 22:48:51
CREATIVEYE.NS,7.15,2026-01-02 22:48:52
CREDITACC.NS,1287.7,2026-01-02 22:48:52
CREST.NS,397.85,2026-01-02 22:48:52
CRISIL.NS,4458.6,2026-01-02 22:48:52
CRIZAC.NS,283.15,2026-01-02 22:48:53
CROMPTON.NS,252.1,2026-01-02 22:48:53
CROWN.NS,137.55,2026-01-02 22:48:53
CSBBANK.NS,483.15,2026-01-02 22:48:53
CSLFINANCE.NS,297.45,2026-01-02 22:48:54
CTE.NS,39.9,2026-01-02 22:48:54
CUB.NS,288.5,2026-01-02 22:48:54
CUBEXTUB.NS,121.5,2026-01-02 22:48:54
CUMMINSIND.NS,4482.1,2026-01-02 22:48:54
CUPID.NS,419.95,2026-01-02 22:48:55
CURAA.NS,109.91,2026-01-02 22:48:55
CYBERMEDIA.NS,17.14,2026-01-02 22:48:57
CYBERTECH.NS,148.19,2026-01-02 22:48:57
CYIENT.NS,1105.9,2026-01-02 22:48:58
CYIENTDLM.NS,415.85,2026-01-02 22:48:58
DABUR.NS,522.6,2026-01-02 22:48:58
DALBHARAT.NS,2147.1,2026-01-02 22:48:59
DALMIASUG.NS,297.4,2026-01-02 22:48:59
DAMCAPITAL.NS,219.12,2026-01-02 22:48:59
DAMODARIND.NS,30.09,2026-01-02 22:48:59
DANGEE.NS,3.75,2026-01-02 22:49:00
DATAMATICS.NS,805.8,2026-01-02 22:49:00
DATAPATTNS.NS,2621.7,2026-01-02 22:49:00
DAVANGERE.NS,3.76,2026-01-02 22:49:00
DBCORP.NS,260.35,2026-01-02 22:49:01
DBEIL.NS,118.32,2026-01-02 22:49:01
DBL.NS,467.85,2026-01-02 22:49:01
DBOL.NS,80.26,2026-01-02 22:49:01
DBREALTY.NS,120.55,2026-01-02 22:49:02
DBSTOCKBRO.NS,24.87,2026-01-02 22:49:02
DCAL.NS,254.78,2026-01-02 22:49:02
DCBBANK.NS,177.44,2026-01-02 22:49:02
